SENTIMIENTO DEFINITIVO,TWEET
NEGATIVO,1271678480040804352-@HLGatell Cuál reconocimiento?Mientes con las cifras y cambias de postura cada dos minutos.Y no logras que el presidente respete y use cubrebocas.Eres el hazme reír por decir lo menos.
NEGATIVO,1305350449470603270-Hoy se metieron a robar en mi edificio al medio día. Pinches ratas
POSITIVO,1422234736269930499-Petición · Vacunación para niños de 12 a 17 años en México para el inicio de clases escolares · https://t.co/JJXSPJt3rL https://t.co/Vv9n5F9fm8
NEGATIVO,1285796671511826432-@JosefinaVM @hdemauleon @El_Universal_Mx A ver si te conviertes en la Joya del Coronavirus me saludas al mismo Satanas.. y esperemos no te escupa de regreso 🙏🏿
NEGATIVO,"1258557774419513344-""Me causa chingos de conflicto que la persona que no cree en el covid-19 ande en la calle y venga a mi casa charoleando como si nada🤬🤬🤬 vete pa tu casa bastardo"""
NEGATIVO,1288878837921652743-.@jorgeluismn Por los 15 millones de desempleados
POSITIVO,1255273646219767810-Para soñar en días de cuarentena...https://t.co/OjzjS2e9cm
NEGATIVO,1342875862597820419-Tal parece que Pfiser está enviando a los países su vacuna de acuerdo a la popularidad y aceptación de sus gobernantes...
NEGATIVO,1249173166171344896-@MissFernandaMex @HLGatell Pienso algo similar en cuanto a la higiene del personal de salud. Han posteado que los han agredido
NEUTRO,1268700577074200578-que vergüenza esta calentura de cuarentena 🥵🥵🥵
NEUTRO,1278552600581943296-Lo que este #MiercolesDeCulosEnCuarentena  dejan...😈😘 https://t.co/LEOlCkx2OU
NEGATIVO,1303456391051513859-No entiendo ponen twitts que están de antro
NEGATIVO,1427355287871266822-Ya andan llegando los mensajes de weyes casados juntado o con novia que vayamos al mismo lugar de vacunacion porque muchas ganas de verse ylav JAJAJAJA me cae que nunca desaprovechan nada ustedes
NEGATIVO,1334997369553825794-Funerales y más funerales. La gente está pereciendo tanto por covid
POSITIVO,1420789383674830850-Conozca todo sobre la implementación del Distintivo PASE. No se pierda el webinar impartido por nuestra colaboradora Sandra Michel del Toro
NEGATIVO,1466174713084870656-@PMigoya @MrLotario @HLGatell Como catastrófico 60 mil
POSITIVO,1264986471158538241-#SNTEsalud ⚕️🙌 🧼 🚿 Lavarse constantemente las manos en esta fase de alto contagio ⚠️🗣️⚠️ por #COVID19 #coronavirus 🦠 es importante para cuidar tu salud 👤 y la de los demás 👥 No corras riesgos fuera #QuedateEnCasa  👉Si sales usa cubrebrocas 😷 #FEDESSP #ACS @FEDESSP https://t.co/i06P4FGaVP
POSITIVO,1269427264707387394-#asadatime #carneasada #encasa🏡 🥩 en C𝔻𝕄𝕏 https://t.co/gkDYrgKMD7
POSITIVO,1246993993126350848-Mi tío mandándome libros de finanzas es lo que necesitaba esta cuarentena para ponerme a hacer algo con mi vida❤️
NEGATIVO,1328404040653410308-Que hace en MéxicoUn ministro de laSuprema Corte deJusticia de laNación por niñosCon padres desaparecidosPor niños EnfermosDe CáncerPor niños que Les niegan EducaciónLayca y GratuitaY saquean PresupuestoCon pretextoDel Covid.Pérez DayanLuis María ÁguilarLelo de L
NEUTRO,1387627024848728066-@DrParvovirusB19 A ver se me calman
NEUTRO,1245933299874164737-#Covid_19mx Invocan en Sinaloa el nombre de Dios
POSITIVO,1413992191186325505-@mafsoldtheworld Toma agua
NEGATIVO,1271228321762701313-Que horrible se siente esa pinche prueba del coronavirus 😭
NEUTRO,1248067527340707846-⚠️ATENCION⚠️Ordena y Recoge En Tu Auto 6143351162 o Pide A Domicilio 6144939880 #QuedateEnCasa #ConsumeLocalCUU #RicosTacos #LosMejores #Tacos #Salsas #Calidad #37Años en Rico's Tacos De La Juventud https://t.co/uLbpGgoGEU
NEGATIVO,1354315677276975105-@HLGatell Que vergonzoso número y no hay cambios de la estrategia!!
POSITIVO,1374808566792650752-@DrChavezDiaz Incluso médicos que están más al alcance de personas sin recursos. De la farmacias Similares
NEGATIVO,1311001749730332674-Hace un tiempo tuve una crisis emocional fea
POSITIVO,1349386803241914369-Es muy grato informarles que hoy inició el plan de #vacunación contra la #Covid_19mx en #Puebla
NEGATIVO,1294371852488384512-Resulta que Anabelle también es covidota #anabelle
NEGATIVO,1385817231930527753-Esta cuarentena me tiene hasta la verga
NEUTRO,1246877567111569414-Este próximo Jueves Santo
NEGATIVO,1449960622439948289-Ay mi niño tiene miedo de su segunda dosis d ella vacuna. 🥺😂 https://t.co/KiSNuiwHSV
NEUTRO,1335778123208675329-Yo por eso duermo solo en esta época de pandemia Ave Maria purisima Qu
POSITIVO,1257661316426276864-#BuenDía #5DeMayo 2020 🌼⛅️#FelizMartes 😀 #CincoDeMayo 🇲🇽 #MeLevantoConUva90punto5 🍇🎶 #QuédateEnCasa  con mi música
NEGATIVO,1333608476652802048-@cucarecheto Tienes razón aún no han dado el anticipó que se les pidió para tener derecho a las vacunas
NEUTRO,"1288289714189905922-""#96 AMILPA PLUSEX-ATUSA PLUS #96#CDM 🚍🚌🚖🚕#TransportamosSonrisas 😇☺️😎❤️👍#QuedateEnCasa 🏡 https://t.co/MLGWXIMpej"""
NEUTRO,1250814846066741249-¿Que opinión tienen sobre la extensión de la cuarentena hasta finales de marzo 2020?
NEUTRO,1345522157330157569-Me informan que @Fundeu escogió la palabra del año 2020
NEGATIVO,1246302282406408192-Los diputados publicando el último caso de muerte por #COVID2019mx
NEGATIVO,1259245351535431681-@TriniRodriguezL Es ilógico pensar en un regreso en este ciclo cuando estamos frente a lo más complejo de la Pandemia en México. Le recomendé a @emoctezumab que se instalaran buzones en las escuelas para entrega escalonada de trabajos a quienes no tienen acceso a las TIC.
NEGATIVO,1355982273510846464-@AntiChairo11 @Mariosa90984486 @airamSev @HLGatell Así es. 1. No responden a preguntas concisas. 2. Todo lo q se cuestione (base de la ciencia y la inteligencia)a 4T
POSITIVO,1420772401596534789-#TodosSomosUno 🙋‍♀️🙋#NosVemosEnLaEscuela 🏤👉#Tu´un Savi (Miexteco)Montaña Alta
NEUTRO,1270438113710612480-Ya estamos en #ContactoJalisco
NEUTRO,1347223074505175041-@talatalavera argumentos sin contexto
NEUTRO,1333362183741313024-@serch_almarazr @doctormacias Con los N98 pasan 2 de 100. Con los P3 pasan 0 virus.
NEGATIVO,1308126007912587265-Ante incertidumbre por nuevos casos de covid 19 en Europa
NEUTRO,"1246832948902391809-""COVID-19: Tweets de autoridades de México  https://t.co/p1f2pkUtj2"""
NEUTRO,"1361166349012197378-""Queridos colombianos... ¿quieren saber qué viene? -Fácil"
NEUTRO,1416406492450861065-Un gobierno con avance real en informes que no dejan duda
NEGATIVO,1266135974867681280-En este punto de la cuarentena ya ni ganas de comer tengo😪
NEGATIVO,1259887266375204867-@AlejandroEZapa1 @GobiernoMX Jajajaja échale la culpa a Hobrador jajaja pendejo ni vez que el invento el Coronavirus jajaja culero PRI y Pan puros hombres asesinos sicarios corruptos lacras sociales tu juto con ellos escorias sociales
NEUTRO,1261007903890083841-@HansStoelting No tengo detalles
NEUTRO,"1294143510497488896-""MASAJEADOR WOW WAND-DERFUL RED💲2"
NEGATIVO,1311333893883203591-@FelipeCalderon Tu siempre presente dónde hay muerto. #Culero #BorolaVirus https://t.co/jc9t3Y91lA
NEUTRO,1270758555885305856-#quedateencasa #haceunaño en Ciudad del Carmen https://t.co/bl55ZMCsxn
NEUTRO,1421469420141137925-@e_rz_ @GobCDMX En pandemia
POSITIVO,1333158088183058432-Una más con todo y Covid!!E indica que la rehidratación es con cerveza!! 🍻#RunningMan #runningmexico #beerrace https://t.co/RvcJpQ5nAl
NEUTRO,1248925020644130822-04:45 #QuédateEnCasa Av. Río San Joaquín con #BuenAvance de Av. Lomas de Sotelo hacia Av. Ejército Nacional. #MovilidadCDMX https://t.co/pwPa4cIEMQ
NEUTRO,1263451635302518786-@DParamo_Mx @araceli03956935 @HLGatell Que dice que dijo??!?!
NEGATIVO,1316344223000657920-@manuelhborbolla Lo peor de todo es culpar a una persona como al Dr @HLGatell de la muerte de todos los pacientes covid del país
NEUTRO,1270865886484721665-Esta cuarentena he leído PDF’S como si no hubiera un mañana 🤦🏻‍♂️
NEGATIVO,1397550431434313732-@Salvado07797816 @EnriqueAlfaroR Sí como tú amo y patrón que se pone a jugar beisbol en horas laborales
NEGATIVO,1256333957341212673-En México hace falta de manera urgente
NEGATIVO,1285735307195879430-@LillyTellez @HLGatell Que estupida
POSITIVO,1249857829269315585-Quiero una hamaca... #VG #COVID2019 #FelizLunes #coronavirus #13deAbril #COVID19
NEUTRO,1263433961868414976-Mi cuerpo:ya duérmete  nmmsMi cerebro: saliendo de la cuarentena
NEUTRO,1263249103473033216-#CuarentenaTime #cuarentena #Tabasco https://t.co/IVF6EeC454
POSITIVO,1249189171626983427-Vale la pena! haz el esfuerzo
POSITIVO,1283178568240050176-#cumpleañosencuarentena #sintapabocasalv 🎉🎊✨🎈 en Zapopan https://t.co/VtjWJiZnpG
NEUTRO,"1282507635884007431-""México es el 10o. país más poblado del mundo"
POSITIVO,1259678975393226758-Esta cuarentena me hizo reflexionar muchas cosas.
POSITIVO,1246908474296086529-PLANES Y ENTRENAMIENTO EN CASA GUERREROS AZTECAS COACH MUNRRA ENTRENADOR SELECCIÓN NACIONAL INFANTIL MEX TEAM 🇲🇽 INFORMES 3311538080 #ENTRENAENCASA #ESPIRITUCOMBATIVO #SEPREDICACONELEJEMPLO en CAR Guerreros… https://t.co/2YwSEbQrgU
POSITIVO,1287428456402255872-Desayuno estilo la Paz #taquitosdepescado #capeado #sunday #breakfast #stayhome #hanna 😎🌮☔️🏡🙈 @ Monterrey
NEUTRO,1386018882029301760-Huauchinango ya funciona como si nada.... Ya todos Vacunados... en TV28 Televisión de Huauchinango https://t.co/EsJvKagTUb
POSITIVO,1388160216928186371-Comparte la información para que todos estemos vacunados
POSITIVO,1261048940268367873-La prueba de las lentejas a la boloñesa infinitas. Le puse un poquito de aguacate a la esalada después. Estoy comiendo deliciosamente #vegano durante la cuarentena. en Mexico City
NEGATIVO,1321320210557624320-Pobre canijo... Pasó a la historia como el 1er jugador que tiene que salir de un juego de #SerieMundial por dar positivo a covid19.Y se perdió la celebración en el terreno de juego.
NEGATIVO,1252303148083011584-Me da disforia nomas de pensar que me muero de coronavirus y cómo toda mi familia lloraría por una persona que no soy yo. Sería una fortuna dejar de sentir el resultado de provenir de una familia que traiciona sus propios principios.
NEGATIVO,1426680765539028992-@Kennebell1 @Darkfoe39 @elnortelocal Hay mucho delirio mental...se juntó el encierro del 2020
NEUTRO,1283080363724746753-🧐 Muy a doc para los incrédulos respecto a la existencia del #CoronavirusMx 🦠 hay que cuidarse 😷
POSITIVO,1330693319630917632-mMMmm nunca me hubiera imaginado que me independizaria antes de terminar la escuela mMmM menos en plena pandemia MMmmM los tiempos de Dioxxx son muy extrañoOs🥴🙃🥴 pa nada me quejo
POSITIVO,1449405482939072515-@ChinitaFifi_ Parece que el IMSS estará  vacunando contra la influenza.
NEGATIVO,1451375911480307716-Durante esta pandemia hemos pasado por etapas distintas que complicaron nuestro entorno
POSITIVO,"1251768307293847552-""INSCRIBETE A NUESTRA SEGUNDA SESIÓN DEL PROGRAMA GRATUITO DE FORMACIÓN PARA PROFESIONALES DE LA SALUD Y LA EMERGENCIA 2020  FRENTE AL COVID-19 EN MÉXICO  RESERVA TU LUGAR:  https://t.co/6tTVxasPZA en… https://t.co/Xe3Kn6s1DG"""
NEUTRO,1428380455913541635-Mi compañero de equipo
POSITIVO,1380266100991127555-Mis papás ya se vacunaron y mañana mi abuela 😭💕🥰 que felicidad
NEGATIVO,"1462201797855137793-""La cuarta ola de covid-19 en Alemania está sucediendo. ¿Porqué creemos que en México no pasará de nuevo? https://t.co/EgYs72XF5A"""
NEUTRO,1266838150606983170-@EnriqueAlfaroR @DanteDelgado @HLGatell https://t.co/74KWlzwnQy
NEUTRO,1266512873427255298-Estamos al pendiente de cada indicación ...Porfabor #QuedateEnCasa
POSITIVO,1379622276191154177-Sorprendente!!#Ataque a #SARSCoV2 por los #LinfocitosCitotóxicos y #NK
NEUTRO,1346829064989007879-@CaroGarayQ Dicen que el efecto secundario más común es no dejar de presumir que ya se les puso la vacuna ¿es cierto?
POSITIVO,"1376426936054988800-""Acompáñame a platicar sobre VACUNA para COVID-19https://t.co/v7Hxj0E9gv"""
POSITIVO,1255335536044249088-#JuntosContraElCovid19  nosotros somos más podemos contra el cocido cuidate
NEUTRO,1254482798951321600-13:49 #QuédateEnCasa Policías de #Tránsito realizan dispositivo de retiro de vehículos en Dr. Arce entre Dr. Barragán y Eje Central Lázaro Cárdenas col. Doctores
NEUTRO,"1295431165826838528-""Agencia Punto PSeñalamientos POST COVID-19CreativosOriginalesInteresados Comunicarse al: 9931383266 en Villahermosa"
NEGATIVO,"1329620070775996416-""*Mexicali a la alza en casos COVID19"
POSITIVO,1357728308314730500-#GraciasPorTuLuchaY gracias al gobierno de @Jtolentinoroman! El funcionamiento del centro COVIDTEL ha realizado más de 45 mil acciones para combatir la pandemia
NEGATIVO,1252642023556907011-@juanmapregunta la colonia paseos de churubusco quieren cambiar medidores los de CFE y no traen ni permiso
POSITIVO,1248346289487544320-#quedateencasa #disfrutandolaconcina #cocinandoando en Mexico City
NEUTRO,"1349133530291265537-""¿Estás de acuerdo que se use el avión Presidencial “TP01 José Ma. Mírelos y Pavón”"
NEUTRO,"1272582620929384449-""El primer grupo de jugadores del Club América ya están entrenando en Coapa.Los jugadores de fuerzas básicas reportaron para la prueba de COVID-19.#AMÉRICA🦅 https://t.co/ALA9OECNkz"""
POSITIVO,1391264270369832960-Mañana es el día tan esperado desde el año pasado
NEGATIVO,1257783685719355392-#MandenCervezaMejor imagen no puede describir está cuarentena de popó.Los Simpson son grandes. https://t.co/xhGFq1ojRR
NEUTRO,1260297424494448640-Test de estos por todos lados
NEGATIVO,1270919679608074242-@HLGatell Nos cree p3nd3jos. https://t.co/ga2XFnCxUK
NEGATIVO,1249533309580988417-@diaz_manuel Pues nadie por qué andan ardidos del culito. #Borolavirus #MoralmenteDerrotados https://t.co/fJ9dYMeOUr
NEGATIVO,1322023042298507265-He estado pensando que ... la misma población que aún cree en @lopezobrador_ y que cree en @HLGatell es la misma que sigue a @ANPNL05 .. y es realmente lamentable 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️
NEUTRO,1354490252438732800-@JosanCervantes @LillyTellez @xViVaVerDe Solo para aclarar.Si recibimos la vacuna de Rusia está perfectoLas vacunas de Pfizer y Moderna son de RNAm Y la vacuna rusa es de Adenovirus.Son tecnologías diferentes Puedes ver un resumen de tooooodas las vacunas aquí https://t.co/uhrEVl2JpD
NEGATIVO,1264683930801909760-Ⓜ️Su hermana murió hace 3 días presuntamente de #Covid_19
POSITIVO,1253446940437745664-El mensaje también llega a los niños 🥰 @HLGatell
NEUTRO,1393419147653046273-Tik tok lo predijo desde hace un año
NEGATIVO,1442611790056202241-En su vida habían pelado la glorieta de Colón y ahora que le ponen un monumento que representa una crisis social vigente la hacen de pedo con argumentos bien pusilánimes.
NEUTRO,1416405330381230083-@que_es_vivri @vampipe @Claudiashein SpunikV para todas excepción Tlalpan que será AstraZeneca.
NEUTRO,1245208604661055490-En esta cuarentena no solo limpies tus manos o tú casa
NEGATIVO,1264803070040555520-Estamos combatiendo desde un mal frente al Covid.
NEGATIVO,1341212114531348481-@HLGatell @SSalud_mx Inepto
POSITIVO,"1422310516043751429-""@AXL__tw Excelente hiloMi hipótesis poscovid es que habrá una """"migración inversa"""" ahora de las ciudades hacia el campo.De ahí la necesidad de generar políticas públicas orientadas a lograr un desarrollo rural sustentable y sostenible https://t.co/Bixy7axLy6"""
NEGATIVO,1280516810568327172-@PatoTrevino @branstein2005 Amiga shh me van a subir a covidiotas
POSITIVO,1337626596417605632-#mañanitasazteca doy gracias por seguir vivo...bendiciones para los enfermos de esta pandemia que se recuperen pronto. Amén
NEUTRO,1412778242818330624-#COVID19 proyecciones mortalidad 🧐🤔😷🇲🇽 @HemoMacGregor
NEUTRO,"1359221003176407040-""Esta gráfica es muy ilustrativa sobre la relevancia de los déficit ya que fue hasta después de los superavits de Clinton que hubo una crisisHay que vencer el paradigma de las finanzas """"sanas"""" que tanto daño ha hecho a la economía(También me refiero a la austeridad republicana)"""
NEUTRO,1392553579437772802-@ArturoZaldivarL No se requieren agradecimientos
NEUTRO,1259138433852686336-@Rodpac @juanjosearredo2 @HLGatell #GatellTrasLaSilla #GatellTrasLaSilla#GatellTrasLaSilla #GatellTrasLaSilla
NEUTRO,1308063303675965442-@SEDEMA_CDMX  @LaSEMOVI  hay segundo semestres de verificación pasar de la pandemia ?¿
NEGATIVO,1396510831567900676-Reporta EU problemas cardíacos en jóvenes vacunados contra el Covid https://t.co/QFgw0gpqIp
NEUTRO,1247200480125751296-Se filtran imágenes de“El Profesor” Dando clases en cuarentena... https://t.co/b6iTO5cGPb
POSITIVO,1426245186267516929-@TVTenlinea Seguro no estaba vacunado el arzobispo. Pronta recuperación para el 🙏🏻
POSITIVO,1250848872378757120-🚫 Hoy es el #DíaInternacionalContraLaEsclavitudInfantil
NEUTRO,1257443006896095237-@brozoxmiswebs Le lele la cabeza
NEGATIVO,1252631831696080897-Creo que lo que más me harta de la cuarentena es que no puedo salir yo a comprar mis cosas. Saben lo complicado que es encargarle a mi papá toallas Always ultrafinas con alas y shampoo para evitar la caída? Él todo lo ve igual😂
POSITIVO,1354984413650702342-Estados Unidos rompió récord 1.6 millones de vacunas de COVID en un solo día.
NEGATIVO,"1260251286710243328-""Epidemiólogos de Harvard prevén un pico más alto de Covid-19 en invierno  https://t.co/k3RWeBAD4S"""
POSITIVO,1355892661518012418-En la semana @JNJCares y @Novavax publicaron nuevos datos sobre la eficacia y seguridad de sus #vacunas candidatas. Tras los estudios de fase 3
POSITIVO,1293645548906516485-El covid me cumplió un sueño 😅
POSITIVO,1257690105109778432-#estoycontigo ♡ #QuedateEnCasa https://t.co/of26SBTMpV
NEUTRO,1424932114948968450-¿A qué hora ponen la encuesta para armar la playlist de las vacunas en Juventino? 🤔
NEUTRO,1359320092136378372-DONDE ESTÁN LAS VACUNAS ????
NEUTRO,"1265876521865994240-""@Laura_RG18 Son síntomas de covid-19"""
POSITIVO,1288189112814632961-@PCruzFlores Ya los tengo en mi poder!! Gracias 🤙🏼
NEGATIVO,1348905949206110208-Record de muertes por covid una vez más. https://t.co/btdOBhfSwC
NEGATIVO,1342882043106127873-@leseguilospasos @BaruchRr @jorgesuarezv Dimensiones ahora los 1.4 millones (suponiendo que sí llegan). Si esa cantidad nos llega cada mes
NEGATIVO,1258914180494700552-En total son 27 casos de COVID19 en #PiedrasNegras De lo 27 casos: 16 altas 2 prealtas7 en cuarentena1 Hospitalizado1 Fallecido #QuedateEnCasa
NEUTRO,"1296497999556665344-""#Nacional El Subsecretario de Prevención y promoción de la Salud"
POSITIVO,1390049371731922947-Listo mi proceso de vacunación. Si los funcionarios del gobierno del estado felicitan a su jefe
POSITIVO,1255432981507866624-#MovilidadCDMX Te compartimos algunos tips para prevenir accidentes cuando vas en motocicleta. #QuédateEnCasa https://t.co/K8B1JEbM8X
NEGATIVO,"1255874852654690304-""La opacidad y falta de transparencia era común de los gobiernos anteriores"
NEUTRO,1387264704205266944-#EnterateÁrea Jurídica – LaboralLa Lic. Lucía Vázquez Martínez
POSITIVO,"1274123325292244993-""AMLO: pide estar atentos al Covid-19 para evitar fatalidades.  https://t.co/W1Vr9XSwa0"""
NEUTRO,1369505203393855491-@irmoralesl @vampipe y @latinus_us urge un video con todas las veces que el Presidente ha cambiado las fechas y cifras de vacunación!! Sería muy bueno!!
NEUTRO,1280626652368773122-FAV si has tenido alguna vez COVID psicológico
NEUTRO,"1288575776380444672-""@O_Diosa78 Ahh...Mira que le aprendió bien a su pastor"
POSITIVO,1254889196118061056-¿Sabes cómo se debe actuar si en casa tenemos a alguien contagiado de #coronavirus? Te compartimos algunas medidas y recomendaciones: https://t.co/HlomvMOgSW
POSITIVO,1259647031800467456-Confirmen si todos en esta cuarentena hablamos con medio mundo que quizá hasta jamás les habíamos hablado. Yo tengo conversación con unos chavos de cuando estaba en la secu por el Nintendo
NEUTRO,1251500215389040646-@KaryRomanova @KinoKinoarteaga @HLGatell Muy cierto el comentario
NEGATIVO,1350887920530558983-@hugo14952 @Leonardo11mx @lebairg @covidmx La minimizaron
NEGATIVO,1394383204807741446-#covid19 | ⚫🦠 Se mantienen defunciones por #Covid19 en #EdoMex https://t.co/NWjr2eXcY9
NEUTRO,1336850361647132675-Cuando llegan las vacunas @HLGatell @lopezobrador_ ????Es para una tarea
NEUTRO,1272245522401603584-El coronavirus llegando a mi vida.
NEGATIVO,1285796295622496256-@Pajaropolitico @AnpracAC @HLGatell No tiene madre
NEGATIVO,1248401947297636353-@HLGatell es el @MurilloKaram de @EPN o el @GenaroGarciaL de @FelipeCalderon. Ambos ex funcionarios minaron la credibilidad de sus jefes hasta la fecha. Hoy la credibilidad del Gobierno Federal ha caído y con ello inicia una nueva crisis para @lopezobrador_ https://t.co/zFu29ir4Nj
NEGATIVO,1249056030744440832-@chioreya @betomatrix69 @m_ebrard @rocionahle @HLGatell @BeatrizGMuller @tatclouthier @fernandeznorona @SNietoCastillo @Claudiashein Ya métete el dedo mejor...!💩💩💩
NEUTRO,"1376721838731055109-""Origen de COVID-19 habría sido animal"
NEUTRO,1311925281058361348-Regreso a la toco!!! UTQX llena
NEGATIVO,1400158059020701697-@Carloslaraff Crisis existencial
NEGATIVO,1378781336475992066-@zoerobledo  @HLGatell  @lopezobrador_  con un gobierno tan incapaz y asesino
POSITIVO,1390102718774140929-Recomendaciones provisionales de salud pública para personas  totalmente vacunadas. https://t.co/iuiBPh1dyW Vía @desde_izquierda #DesdeLaIzquierda
NEGATIVO,1333670409603080193-Cuáles fueron sus propósitos de año nuevo que no cumplieron por huevones y desidiosos
NEGATIVO,1258519520588689409-La violencia de género sí ha aumentando durante la cuarentena https://t.co/dd0GLXrab7
NEGATIVO,1315139441485324288-@Horacitu Pero quiero verte! Siempre lo pospuse 😔 jaja es como si la pandemia fuera mi periodicazo
NEGATIVO,1354210175876542468-Putos efectos de la vacuna siento que me van a matar 🙂
NEUTRO,1315795800547561475-@rulasramir @annilu2486 @HLGatell 😂 😂 😂 Lo dicho no se saben otra
NEGATIVO,1375914350364532743-Lo malo de ligar en tiempos de covid
NEUTRO,1257314363695755264-@reyesmuniz60 @jorgeramosnews @HLGatell Jajjaja
NEUTRO,1253168216668549132-@MrDominguez03 @AlEpH_027 Jajaja noooo son para mi consumo en esta cuarentena pero creo que si me excedi
NEGATIVO,1331271543066816512-@HLGatell Pues en #Queretaro #semaforoamarillo con muchas fiestas y reuniones
NEGATIVO,1266130959616708608-Me acabaste la vida coronavirus que más verga quieres de mi chinga tu madre
POSITIVO,1363527036128616451-Recuperate pronto amigo @HLGatell
NEGATIVO,"1336409959668609025-""Si a los mexicanos nos valiera el que dirán"
NEGATIVO,1280548065749983233-Tengo toda la cuarentena cantando i had a dream my life would be so different from this hell i’m living en mi cabeza
NEUTRO,1346871323583197184-@epigmenioibarra @Revolucion3_0 Oiga Don y el video que circula de gente importante haciendo como que se vacunan pero sin aguja
POSITIVO,1249556016607485952-@espinaca79 Te reto !! Hazlo de echo !! Solo salgo a entrenar con mis respectivos cuidados !! No convivo con nadie y me limpio mis manos antes de llegar a casa . Me muevo humildemente en un auto 🚙 y si no aun así el uso del tapa bocas !! #QuedateEnCasa
NEGATIVO,1407337211947892748-Mason Mount y Ben Chilwell no jugarán vs. #CZE porque tuvieron contacto con Billy Gilmour
NEGATIVO,1396900619546411010-!Alto a las improvisaciones de la 4T! urgen vacunas para todos los estudiantes. #RegresoAClasesEsHomicidio @SEP_mx@SSalud_mx@lopezobrador_ https://t.co/LS54Ldj6re
NEGATIVO,"1319819300782272512-""CNDH emite medidas cautelares para el INM; hay 19 migrantes con Covid en Tapachula: La CNDH detectó que los migrantes con Covid-19 fueron colocados junto a mujeres y niños sin síntomas"
NEUTRO,1374926069514522624-📊 #COVID19 Consulta el comunicado técnico diario de la @SSalud_mx – 24 de marzo 2021.#NuestraCiudad #Tlalnepantla #SemáforoNaranja ⬇️⬇️
POSITIVO,1400976812059017219-#TodosSomosUno 🙋‍♂️🙋‍♀️🔴 Regreso a clases presenciales el #7DeJunio 🗓️ es voluntario para maestros 👨‍🏫 y alumnos 🧑‍💻 por acuerdo #SNTE 🍎📚 @SEP_mx 🏢 Mtro. Alfonso Cepeda Salas en #Despierta @Foro_TV con @daniellemx_ y @campossuarez 👇ENTREVISTA 👇 https://t.co/4gCssr6acD
NEUTRO,1312108740368236544-Yo digo que Trump no tiene COVID
NEUTRO,1259550975255351296-Mi cuarentena es más o menos así:
NEUTRO,1441553477285470209-La siguiente pandemia.#acompañamientoemocional#terapia
POSITIVO,"1450446311317250048-""Ya 7 días que no tengo tosSe acabó el long COVID-19 💖👍🏽🙏🏽"""
NEGATIVO,1398493828873601025-@JoseCardenas1 2/2 la ruina en que tiene al país: la crisis económica
NEGATIVO,1288497562950012928-🚿 Así está el agua de sucia que manda @AguadePuebla a la colonia #Amalucan este día
NEGATIVO,1278009273734184960-Y no se salvo
NEUTRO,1295915222151188482-Más allá del cubrebocas
NEGATIVO,1398345894832087046-@lalo_pino Me da covid  la filantropía
NEUTRO,1318263564466049025-Gracias a la Pandemia
NEGATIVO,1352709460754649088-Nuevamente y pese a la pandemia el Panteón municipal de San Felipe Hueyotlipan dejan pasar grupos de más de 30 personas @laredcincoradio @CICPue @PCPueblaCapital @PC_Estatal https://t.co/4m9V33NMBD
NEGATIVO,1348698774764310529-6 meses del COVID y no vuelve mi olfato 😩
POSITIVO,"1283148667491438594-""Ozito dijo:-""""la cuarentena ya esta surtiendo efecto"
NEGATIVO,1388539135275720705-En especial este #DíaDelTrabajo recordemos que 2 de cada 3 empleos que se perdieron durante la pandemia fueron de mujeres
NEUTRO,1245541146689822720-@MCDRTv Y más en esta #CuarentenaNacional
NEUTRO,1363184722336047109-@lopezdoriga Como ves que a Gatel le dio COVID?
NEUTRO,1364931718550081539-@ahope71 Jornadas reducidas y de preferencia
NEGATIVO,"1264237086468640769-""@KEVINCRIMINOLOG @rulvm @JuanAlb03970626 @AristeguiOnline De verdad que hay gente cegada y no se bien por que"
POSITIVO,"1271790522601033728-""México busca recursos para crear vacuna contra Covid-19 - https://t.co/KXePRVaMMv"""
NEGATIVO,"1256700502315864071-""Ando en HEB con miedo del Covid-19 y de salir en una foto de fb que diga """"esta gente que no entiende"""" ☹️"""
NEGATIVO,1348759062943584256-@fualanodetal eso NO es “difícil de creer” es #Covidiotas  de @Azteca  @gruposalinas
NEGATIVO,1334908618009939968-El mensaje llegó tarde 10 meses
POSITIVO,1350186349022900225-Para meditar:Ya nos falta menos que cuando empezamos
NEUTRO,"1382531391846375428-""En el hospital privado donde trabajo"
NEGATIVO,1439237009910943752-@Claudiashein @GobCDMX A este gobierno de la CDMX ¿cuando le tocará la vacunación a los Centennials de @Alc_Iztapalapa ? es increíble otras alcaldías van por su segunda dosis @El_Universal_Mx @ElFinanciero_Mx @Reforma @CarlosLoret @brozoxmiswebs @latinus_us @Milenio @Excelsior
NEUTRO,"1255176439361531904-""#StayHomeOtra emocionante aventura del oeste de """"El Llanero Solitario"""".https://t.co/dvNb2WXE5V"""
NEGATIVO,1248796069502291971-Mi fantasía sexual es que me mandes un puto mensaje en esta cuarentena preguntándome como mierda estoy
NEUTRO,1259853077181534208-@DiarioEsOrgullo @luishddzp Marcha en plena pandemia?
NEGATIVO,1355546770198188040-Pero eran la mentiras de la senadora @LillyTellez ¿verdad @HLGatell ? https://t.co/Ao4kqFOUSA
